ts,mid,spread,obi,depth,volatility,trade_intensity,queue_at_best,hour
1764547377867476878,2993.85,0.099853516,0.9166292,1900.3602,5.004007834941149e-05,55.44602415481444,371.2071,0
1764547378867476878,2993.85,0.099853516,0.91235375,1934.3691,3.931738683604635e-05,45.3953651114512,366.71036,0
1764547379867476878,2993.85,0.099853516,0.90759903,1882.1555,3.82035541406367e-05,37.16658146394838,254.22643,0
1764547380867476878,2993.85,0.099853516,0.8765233,2028.0553,3.698101863847114e-05,30.42942323131262,180.07764,0
1764547381867476878,2993.75,0.100097656,0.45791903,2533.5186,3.7168836570344865e-05,34.52077468476818,67.606895,0
1764547382867476878,2993.65,0.099853516,0.45695862,2016.2192,3.7168836570344865e-05,55.453606892798305,137.45747,0
1764547383867476878,2993.4,0.19995117,0.605134,2086.7795,4.0050235838862136e-05,78.75511476588247,184.6589,0
1764547384867476878,2993.25,0.100097656,0.7653373,1726.6875,4.04204947699327e-05,75.71792773017897,137.52669,0
1764547385867476878,2993.25,0.100097656,0.69098943,1886.0562,4.04204947699327e-05,61.99259599203363,137.52,0
1764547386867476878,2993.15,0.099853516,0.88104665,2324.0273,4.0247854485642165e-05,67.79455401248649,237.3969,0
1764547387867476878,2993.35,0.099853516,0.9163524,2528.519,4.0247854485642165e-05,56.593101742761085,219.1916,0
1764547388867476878,2993.35,0.099853516,0.7181157,1935.5676,4.04204947699327e-05,46.334512808869626,52.4889,0
1764547389867476878,2993.15,0.099853516,0.73216003,2412.7817,3.6357389035401866e-05,52.98083806003473,113.98018,0
1764547390867476878,2993.05,0.100097656,0.8833311,2763.4421,3.5855966416420415e-05,47.90877261664529,433.57077,0
1764547391867476878,2993.05,0.100097656,0.83059424,2781.6614,3.6357389035401866e-05,39.22438548346779,291.56335,0
1764547392867476878,2993.05,0.100097656,0.8206852,2719.7607,3.6357389035401866e-05,32.11421066590064,309.19666,0
1764547393867476878,2993.05,0.100097656,0.61826295,3408.0073,3.6776327760890126e-05,26.29289188299779,291.45325,0
1764547394867476878,2993.05,0.100097656,0.6211077,3372.6843,3.5855966416420415e-05,21.708068418886754,284.81586,0
1764547395867476878,2993.05,0.100097656,0.5281291,3964.3994,3.1248662708094344e-05,17.773063204463504,284.81586,0
1764547396867476878,2992.95,0.100097656,0.60093284,3560.1218,3.1248662708094344e-05,41.01666347250763,836.86566,0
1764547397867476878,2992.95,0.100097656,0.40805152,3621.3887,3.1204064725898206e-05,57.50914436729872,205.40642,0
1764547398867476878,2992.85,0.099853516,0.43171492,2919.2258,3.1248662708094344e-05,62.311121818158384,103.53912,0
1764547399867476878,2992.85,0.099853516,0.39279062,2947.6572,3.1248662708094344e-05,58.81060930896146,23.730818,0
1764547400867476878,2992.65,0.099853516,0.5289895,2947.401,3.281388126197271e-05,70.98997956067527,293.49902,0
1764547401867476878,2992.65,0.099853516,0.5272094,2688.6787,3.294095949968323e-05,61.56579511822055,127.218704,0
1764547402867476878,2992.55,0.100097656,0.6969917,2141.409,3.294095949968323e-05,60.19434913477443,321.55756,0
1764547403867476878,2992.55,0.100097656,0.60307914,2392.651,2.948578003270086e-05,55.80865768734549,228.62048,0
1764547404867476878,2992.55,0.100097656,0.64505374,2564.3938,2.846981442417018e-05,45.69226433663167,228.62048,0
1764547405867476878,2992.25,0.100097656,0.7640172,3028.9146,3.4202887036371976e-05,55.7178559292925,532.5399,0
1764547406867476878,2992.0,0.20019531,0.58208644,2546.9375,3.708833901328035e-05,121.38846735828373,366.06177,0
1764547407867476878,2991.5498,0.30004883,0.94166803,4961.114,4.185584475635551e-05,138.17609013654155,975.9251,0
1764547408867476878,2991.45,0.100097656,0.9614552,4093.3423,4.128440559725277e-05,125.45532312555899,239.76836,0
1764547409867476878,2991.45,0.100097656,0.88834155,4401.536,4.101752710994333e-05,105.61443913098276,214.27037,0
1764547410867476878,2991.45,0.100097656,0.94007736,3966.5022,4.145848288317211e-05,96.25832861940717,33.02184,0
1764547411867476878,2991.45,0.100097656,0.91696376,4065.3003,4.145848288317211e-05,79.17219237443912,31.93554,0
1764547412867476878,2991.4,0.19995117,0.89422387,4693.659,4.1084331314777955e-05,67.72101663631169,725.0209,0
1764547413867476878,2991.35,0.099853516,0.8751885,4204.059,4.067685949848965e-05,85.173435445065,256.77954,0
1764547414867476878,2991.25,0.100097656,0.7282781,4120.681,4.015803642687388e-05,92.03022831558516,980.572,0
1764547415867476878,2991.25,0.100097656,0.7875625,3644.407,4.0158040064852685e-05,78.97336307319802,849.7686,0
1764547416867476878,2991.25,0.100097656,0.85537666,3829.0723,4.067685949848965e-05,64.8391902689423,849.76196,0
1764547417867476878,2991.25,0.100097656,0.87911505,3905.596,4.067685949848965e-05,53.085839077857685,849.76196,0
1764547418867476878,2991.25,0.100097656,0.8792015,3916.689,4.1121471440419555e-05,43.463009005990976,849.76196,0
1764547419867476878,2991.25,0.100097656,0.8583487,3868.5767,4.1121471440419555e-05,35.5845020945101,849.76196,0
1764547420867476878,2991.25,0.100097656,0.7795946,3523.479,4.0442395402351394e-05,35.11601134616988,691.4704,0
1764547421867476878,2991.15,0.099853516,0.7028271,2827.358,4.012929639429785e-05,78.23706282425557,266.97055,0
1764547422867476878,2991.05,0.100097656,0.71994936,3093.6064,4.012929639429785e-05,69.31189752545068,710.4531,0
1764547423867476878,2991.05,0.100097656,0.69045025,2356.809,4.012929639429785e-05,77.4124762073862,110.472534,0
1764547424867476878,2991.0,0.20019531,0.7019609,2355.4724,3.976558946305886e-05,70.63074481978539,148.18484,0
1764547425867476878,2990.75,0.100097656,0.9146633,3189.8408,3.831362118944526e-05,78.1297185520277,333.13608,0
1764547426867476878,2990.6,0.19995117,0.8780315,4217.727,3.639298302005045e-05,101.48993742073017,356.0781,0
1764547427867476878,2990.45,0.100097656,0.9200796,3811.0737,2.287601091666147e-05,131.12928332864647,608.07043,0
1764547428867476878,2990.4,0.19995117,0.82528526,4412.8354,2.261515510326717e-05,127.6617325455048,636.1677,0
1764547429867476878,2990.35,0.099853516,0.84511125,3633.9468,2.2259409888647497e-05,125.54781906917515,65.4087,0
1764547430867476878,2990.25,0.100097656,0.8169215,3481.648,2.2070915292715654e-05,113.30347677528104,489.3908,0
1764547431867476878,2990.25,0.100097656,0.75133264,3177.3765,2.2070915292715654e-05,100.37834923730423,32.42478,0
1764547432867476878,2990.15,0.099853516,0.8026594,3703.5864,2.2266765881795436e-05,103.75388184750292,685.7189,0
1764547433867476878,2989.95,0.100097656,0.88115436,3932.1262,2.437095099594444e-05,138.78346015560942,545.9557,0
1764547434867476878,2989.75,0.100097656,0.90772665,6037.3706,2.6079285817104392e-05,143.53571259010317,344.82364,0
1764547435867476878,2989.6,0.19995117,0.9104136,7317.5703,2.5933804863598198e-05,127.12437214934688,1618.3318,0
1764547436867476878,2989.55,0.100097656,0.84759593,6082.877,2.5283343347837217e-05,113.1440952905013,112.137985,0
1764547437867476878,2989.45,0.100097656,0.8993689,6594.6123,2.4439892513328232e-05,99.16024323271172,915.55505,0
1764547438867476878,2989.45,0.100097656,0.90416735,5844.6514,2.4439892513328232e-05,85.89854103728639,266.11993,0
1764547439867476878,2989.35,0.099853516,0.87853783,5937.231,2.3447782950825058e-05,75.76585459941796,1244.5122,0
1764547440867476878,2989.35,0.099853516,0.8453279,5031.402,2.3447782950825058e-05,66.92610486067284,291.60046,0
1764547441867476878,2989.25,0.100097656,0.84198135,5637.4346,2.3447782950825058e-05,60.77634538158125,1000.05176,0
1764547442867476878,2989.25,0.100097656,0.79448515,5577.6006,2.4439892513328232e-05,53.56611720895192,684.7579,0
1764547443867476878,2989.25,0.100097656,0.7474772,5308.645,2.4439892513328232e-05,51.288266605751396,221.52777,0
1764547444867476878,2989.0,0.20019531,0.8685787,7957.418,2.688359745661728e-05,119.3932495778929,715.26227,0
1764547445867476878,2988.6,0.19995117,0.9344281,8838.611,3.308315353933722e-05,194.91124148953742,3215.7817,0
