seed,episode,start_local,start_idx_abs,static_bps,sizeaware_bps,vwap_bps,static_vs_vwap,sizeaware_vs_vwap,sizeaware_vs_static
1000,152,17697,78176,54.208,48.696,51.682,2.525,-2.987,-5.512
1000,153,23492,83971,23.745,27.289,25.35,-1.605,1.939,3.544
1000,154,11194,71673,81.93,22.431,27.341,54.589,-4.91,-59.499
1000,155,10409,70888,94.739,48.758,48.735,46.004,0.022,-45.982
1000,156,14834,75313,22.076,19.702,24.244,-2.168,-4.541,-2.374
1000,157,13008,73487,65.498,44.106,49.829,15.669,-5.723,-21.392
1000,158,6515,66994,85.906,48.213,42.942,42.964,5.271,-37.694
1000,159,6254,66733,33.368,41.916,37.329,-3.961,4.587,8.548
1000,160,8832,69311,144.213,48.366,46.537,97.677,1.83,-95.847
1000,161,18068,78547,27.001,39.284,40.586,-13.586,-1.302,12.284
1000,162,25745,86224,38.172,40.01,46.102,-7.93,-6.091,1.838
1000,163,22903,83382,25.273,37.455,34.942,-9.669,2.513,12.182
1000,164,4869,65348,61.351,40.087,43.673,17.678,-3.586,-21.264
1000,165,24189,84668,81.101,63.222,62.559,18.542,0.663,-17.88
1000,166,12734,73213,43.609,40.19,62.392,-18.783,-22.203,-3.42
1000,167,4995,65474,88.597,41.582,34.34,54.258,7.242,-47.015
1000,168,11880,72359,128.389,22.369,39.695,88.693,-17.326,-106.02
1000,169,24801,85280,47.99,44.499,38.8,9.189,5.699,-3.491
1000,170,8374,68853,66.427,45.862,41.696,24.731,4.167,-20.564
1000,171,17454,77933,36.236,36.176,42.524,-6.288,-6.348,-0.06
1000,172,22566,83045,27.995,31.884,38.353,-10.358,-6.469,3.89
1000,173,19153,79632,30.005,39.263,42.816,-12.811,-3.552,9.259
1000,174,5102,65581,79.654,91.179,57.606,22.048,33.573,11.526
1000,175,11224,71703,249.217,53.761,52.11,197.108,1.651,-195.456
1000,176,11856,72335,8.512,-12.58,28.552,-20.04,-41.132,-21.092
